Counter,Date,Time,LatitudeSensor1,LongitudeSensor1,MagSensor1,Signal1,Track,LocationSource,Hdop,FixQuality, SatellitesUsed, Altitude,HeightOverEllipsoid,SpeedOverGround,MagneticVariation,VariationDirection,ModeIndicator,GgaSentence,RmcSentence,EventCode,EventInfo,EventText,EventData,,,,,,,,,,,,,,,,,,,,,,
15312,7/6/2022,26:27.0,43.98877467,-112.2965458,53096.549,1460,285.3,G,0.6,2,18,1482.61,-17,0.9,0, ,D,'$GPGGA,162627,4359.32648,N,11217.79275,W,2,18,0.6,1482.61,M,-17,M,,*6D','$GPRMC,162627,A,4359.32648,N,11217.79275,W,0.9,285.3,60722,,,D*71'
15313,7/6/2022,26:27.1,43.98877467,-112.2965458,53097.485,1455,286,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15314,7/6/2022,26:27.2,43.98877467,-112.2965458,53097.485,1453,286.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15315,7/6/2022,26:27.3,43.98877467,-112.2965458,53096.02,1465,287.4,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15316,7/6/2022,26:27.4,43.98877467,-112.2965458,53095.178,1458,288.1,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15317,7/6/2022,26:27.5,43.98877467,-112.2965458,53095.587,1431,288.8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15318,7/6/2022,26:27.6,43.98877467,-112.2965458,53092.058,1418,289.5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15319,7/6/2022,26:27.7,43.98877467,-112.2965458,53091.528,1409,290.2,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15320,7/6/2022,26:27.8,43.98877467,-112.2965458,53092.032,1409,290.9,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15321,7/6/2022,26:27.9,43.98877467,-112.2965458,53095.756,1414,291.6,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15322,7/6/2022,26:28.0,43.98877467,-112.2965458,53103.586,1426,292.3,G,0.6,2,18,1482.61,-17,1.7,0, ,D,'$GPGGA,162628,4359.32648,N,11217.79275,W,2,18,0.6,1482.61,M,-17,M,,*62','$GPRMC,162628,A,4359.32648,N,11217.79275,W,1.7,292.3,60722,,,D*77'
15323,7/6/2022,26:28.1,43.98877517,-112.2965479,53107.358,1396,290.8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15324,7/6/2022,26:28.2,43.98877567,-112.2965499,53107.646,1394,289.2,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15325,7/6/2022,26:28.3,43.98877617,-112.296552,53104.667,1372,287.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15326,7/6/2022,26:28.4,43.98877667,-112.296554,53099.597,1399,286.1,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15327,7/6/2022,26:28.5,43.98877717,-112.2965561,53096.115,1443,284.6,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15328,7/6/2022,26:28.6,43.98877767,-112.2965581,53090.98,1472,283.1,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15329,7/6/2022,26:28.7,43.98877817,-112.2965602,53087.011,1467,281.5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15330,7/6/2022,26:28.8,43.98877867,-112.2965622,53082.521,1467,280,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15331,7/6/2022,26:28.9,43.98877917,-112.2965643,53083.435,1460,278.4,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15332,7/6/2022,26:29.0,43.98877967,-112.2965663,53084.249,1458,276.9,G,0.6,2,18,1482.62,-17,1.9,0, ,D,'$GPGGA,162629,4359.32678,N,11217.79398,W,2,18,0.6,1482.62,M,-17,M,,*61','$GPRMC,162629,A,4359.32678,N,11217.79398,W,1.9,276.9,60722,,,D*79'
15333,7/6/2022,26:29.1,43.98877942,-112.2965681,53087.251,1460,276.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15334,7/6/2022,26:29.2,43.98877917,-112.2965698,53092.128,1448,276.5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15335,7/6/2022,26:29.3,43.98877892,-112.2965715,53092.538,1450,276.3,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15336,7/6/2022,26:29.4,43.98877867,-112.2965732,53090.808,1453,276.1,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15337,7/6/2022,26:29.5,43.98877842,-112.2965749,53091.218,1453,275.9,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15338,7/6/2022,26:29.6,43.98877817,-112.2965766,53090.422,1453,275.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15339,7/6/2022,26:29.7,43.98877792,-112.2965784,53088.79,1438,275.5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15340,7/6/2022,26:29.8,43.98877767,-112.2965801,53085.477,1440,275.3,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15341,7/6/2022,26:29.9,43.98877742,-112.2965818,53083.67,1440,275.1,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15342,7/6/2022,26:30.0,43.98877717,-112.2965835,53081.633,1409,274.9,G,0.6,2,18,1483.36,-17,1.8,0, ,D,'$GPGGA,162630,4359.32663,N,11217.79501,W,2,18,0.6,1483.36,M,-17,M,,*65','$GPRMC,162630,A,4359.32663,N,11217.79501,W,1.8,274.9,60722,,,D*7E'
15343,7/6/2022,26:30.1,43.98877718,-112.2965844,53076.591,1404,274.3,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15344,7/6/2022,26:30.2,43.9887772,-112.2965854,53079.854,1411,273.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15345,7/6/2022,26:30.3,43.98877722,-112.2965863,53081.702,1428,273,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15346,7/6/2022,26:30.4,43.98877723,-112.2965872,53087.395,1431,272.4,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15347,7/6/2022,26:30.5,43.98877725,-112.2965882,53085.909,1433,271.8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15348,7/6/2022,26:30.6,43.98877727,-112.2965891,53086.027,1428,271.2,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15349,7/6/2022,26:30.7,43.98877728,-112.29659,53085.091,1421,270.6,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15350,7/6/2022,26:30.8,43.9887773,-112.296591,53081.755,1431,269.9,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
