lat,lon,el_ft
43.99112862,-112.4182641,"4853.6	"
43.99107899,-112.4154331,"4859.3						"
43.99107899,-112.4154291,"4859.4						"
43.99107899,-112.4154242,"4859.4						"
43.99107828,-112.4154192,"4859.4						"
43.99107828,-112.4154133,"4859.4						"
43.99107828,-112.4154083,"4859.4						"
43.99107757,-112.4153984,"4859.4						"
43.99107757,-112.4153895,"4859.4						"
43.99107757,-112.4153846,"4859.4						"
43.99107686,-112.4153767,"4859.5						"
43.99107615,-112.4153727,"4859.5						"
43.99107615,-112.4153678,"4859.5						"
43.99107544,-112.4153638,"4859.5						"
43.99107473,-112.4153569,"4859.5						"
43.99107473,-112.4153461,"4859.5						"
43.99107473,-112.4153402,"4859.5						"
43.99107473,-112.4153343,"4859.5						"
43.99107473,-112.4153284,"4859.5						"
43.99107473,-112.4153215,"4859.6						"
43.99107473,-112.4153146,"4859.6						"
43.99107473,-112.4153097,"4859.6						"
43.99107473,-112.4153028,"4859.6						"
43.99107473,-112.4152939,"4859.6						"
43.99107473,-112.4152851,"4859.6						"
43.99107473,-112.4152792,"4859.6						"
43.99107473,-112.4152762,"4859.6						"
43.99107473,-112.4152683,"4859.7						"
43.99107473,-112.4152595,"4859.7						"
43.99107473,-112.4152536,"4859.7						"
43.99107473,-112.4152477,"4859.7						"
43.99107473,-112.4152358,"4859.7						"
43.99107473,-112.415228,"4859.7						"
43.99107473,-112.4152191,"4859.8						"
43.99107473,-112.4152181,"4859.8						"
43.99107544,-112.4152142,"4859.8						"
43.99107544,-112.4152083,"4859.8						"
43.99107544,-112.4152004,"4859.8						"
43.99107473,-112.4151955,"4859.8						"
43.99107473,-112.4151905,"4859.8						"
43.99107473,-112.4151866,"4859.8						"
43.99107402,-112.4151807,"4859.8						"
43.99107402,-112.4151767,"4859.8						"
43.99107402,-112.4151679,"4859.9						"
43.99107402,-112.4151669,"4859.9						"
43.99107402,-112.415159,"4859.9						"
43.99107402,-112.4151402,"4859.9						"
43.99107402,-112.4151284,"4859.9						"
43.99107402,-112.4151166,"4860.0						"
43.99107331,-112.4151087,"4860.0						"
43.99107331,-112.4151057,"4860.0						"
43.99107331,-112.4150929,"4860.0						"
43.99107331,-112.4150771,"4860.1						"
43.99107331,-112.4150712,"4860.1						"
43.99107331,-112.4150614,"4860.1						"
43.99107331,-112.4150476,"4860.1						"
43.99107331,-112.4150357,"4860.2						"
43.9910726,-112.4150338,"4860.2						"
43.9910726,-112.4150229,"4860.2						"
43.99107259,-112.415012,"4860.2						"
43.99107259,-112.4150071,"4860.2						"
43.99107259,-112.4150001,"4860.2						"
43.99107259,-112.4149872,"4860.3						"
43.99107259,-112.4149852,"4860.3						"
43.99107259,-112.4149783,"4860.3						"
43.99107259,-112.4149723,"4860.3						"
43.99107259,-112.4149644,"4860.3						"
43.99107259,-112.4149564,"4860.3						"
43.9910733,-112.4149485,"4860.4						"
43.9910733,-112.4149425,"4860.4						"
43.9910733,-112.4149336,"4860.4						"
43.9910733,-112.4149207,"4860.4						"
43.9910733,-112.4149058,"4860.5						"
43.9910733,-112.4148969,"4860.5						"
43.9910733,-112.4148959,"4860.5						"
43.9910733,-112.414887,"4860.5						"
43.9910733,-112.4148781,"4860.5						"
43.9910733,-112.4148761,"4860.5						"
43.99107329,-112.4148582,"4860.6						"
43.9910733,-112.4148473,"4860.6						"
43.99107258,-112.4148374,"4860.6						"
43.99106619,-112.4148307,"4860.6						"
43.99106619,-112.4148278,"4860.6						"
43.99106618,-112.414817,"4860.6						"
43.99106618,-112.414813,"4860.6						"
43.99106618,-112.4148081,"4860.6						"
43.99106618,-112.4147973,"4860.7						"
43.99106618,-112.4147934,"4860.7						"
43.99106618,-112.4147835,"4860.7						"
43.99106618,-112.4147796,"4860.7						"
43.99106618,-112.4147608,"4860.7						"
43.99106618,-112.4147539,"4860.7						"
43.99106546,-112.4147401,"4860.8						"
43.99106475,-112.4147361,"4860.8						"
43.99106404,-112.4147322,"4860.8						"
43.99106333,-112.4147272,"4860.8						"
43.99106333,-112.4147243,"4860.8						"
43.99106333,-112.4147203,"4860.8						"
43.99106262,-112.4147133,"4860.8						"
43.99106263,-112.4147093,"4860.8						"
43.99106192,-112.4147004,"4860.8						"
43.99106121,-112.4146935,"4860.8						"
43.99106121,-112.4146895,"4860.8						"
43.99106121,-112.4146846,"4860.8						"
43.99106121,-112.4146736,"4860.9						"
43.99106051,-112.4146657,"4860.9						"
43.99106051,-112.4146617,"4860.9						"
43.99105981,-112.4146458,"4860.9						"
43.99105981,-112.414627,"4860.9						"
43.9910591,-112.4146161,"4860.9						"
43.9910591,-112.4146132,"4860.9						"
43.99105911,-112.4146043,"4861.0						"
